SUB_CAT_CD,SUB_CAT_DESC,CAT_CD
01000110,PAIN RELIEF,0100
01000120,EXTERNAL PAIN RELIEF,0100
01000130,"SLEEP AIDS, STIMULANTS & MOTION SICKNESS",0100
01000140,CHILDREN'S PAIN & FEVER RELIEF,0100
03000310,STOMACH REMEDIES,0300
03000320,ACID CONTROLLERS,0300
03000330,LAXATIVES,0300
03000340,ANTI-DIARRHEALS,0300
03000350,DIGESTIVE AIDS,0300
03000360,ANTI-GAS,0300
03000370,HEMORRHOID PREPARATIONS,0300
03000380,CHILDREN'S DIGESTIVE HEALTH,0300
05000510,"BABY FORMULA, NUTRITIONALS, ELECTROLYTES & FOOD",0500
05000520,"BABY HEALTH, BEAUTY & WELLNESS",0500
05000530,BABY LAYETTE,0500
05000540,BABY FEEDING ACCESSORIES,0500
05000550,DISPOSABLE DIAPERS & WIPES,0500
05000560,BABY GROOMING,0500
05000570,BABY HOME & MOBILITY,0500
05000580,BABY TOYS & ACTIVITIES,0500
07000710,"COUGH, COLD, FLU & SINUS",0700
07000720,"COUGH DROPS, SORE THROAT RELIEF",0700
07000730,ALLERGY,0700
07000740,NASAL,0700
07000750,LIP CARE,0700
07000760,RESPIRATORY TREATMENTS,0700
07000770,CHILDREN'S COLD & ALLERGY,0700
09000910,MEN'S DEODORANTS,0900
09000920,WOMEN'S DEODORANTS,0900
09000930,UNISEX DEODORANTS,0900
11001120,BLOOD GLUCOSE TESTING,1100
11001130,DIABETES CARE ACCESSORIES,1100
11001140,DIABETES NUTRITIONALS & WELLNESS,1100
11001150,DIABETES HEALTH & PERSONAL CARE,1100
11001160,URINE TESTING,1100
11001170,"INSULIN, SYRINGES & DELIVERY SYSTEMS",1100
13001310,SUGAR & SALT SUBSTITUTES,1300
13001320,WEIGHT MANAGEMENT,1300
13001340,NUTRITIONAL FOODS,1300
13001350,SPORT/ENERGY,1300
13001360,DIURETICS & WEIGHT LOSS CLEANSING & DETOX,1300
14001410,PHYSICAL FITNESS,1400
14001420,EXERCISE EQUIPMENT,1400
15001510,ELASTIC BANDAGES & ATHLETIC TREATMENTS,1500
15001520,BRACES,1500
15001530,HOT/COLD THERAPY,1500
15001540,ABDOMINAL SUPPORTS & RIB BELTS,1500
15001560,ORTHOPEDIC & SURGICAL SUPPORT,1500
16001610,GENERAL SUPPORT - LOW COMPRESSION (8-15 MMHG),1600
16001620,MEDICAL SUPPORT - HIGH COMPRESSION (OVER 8-15 MMHG),1600
17001710,MULTI-CULTURAL HAIR CARE,1700
17001720,MULTI-CULTURAL SKIN CARE,1700
19001910,CONTACT LENS CARE,1900
19001920,EYE PREPARATIONS,1900
19001930,EYEGLASSES & LENS ACCESSORIES,1900
19001940,READING GLASSES & MAGNIFYING GLASSES,1900
19001950,EAR CARE,1900
19001960,SUNGLASSES & ACCESSORIES,1900
21002110,FEMALE CONTRACEPTIVES,2100
21002120,CONDOMS,2100
21002130,PREGNANCY & OVULATION/FERTILITY TESTS & SUPPORT,2100
21002140,SEXUAL HEALTH,2100
23002310,FEMININE PROTECTION,2300
23002320,FEMININE ANTIFUNGAL,2300
23002330,FEMININE PERSONAL CARE,2300
25002510,FIRST AID DRESSINGS,2500
25002520,FIRST AID TREATMENTS,2500
25002530,ANTIPARASITIC TREATMENTS,2500
25002540,FIRST AID KITS & SUPPLIES,2500
25002550,ANTI-ITCH TREATMENTS,2500
25002560,CHILDREN'S FIRST AID,2500
27002710,SHOE INSOLES & INSERTS,2700
27002720,FOOT CUSHIONING & TREATMENTS,2700
27002730,ODOR & WETNESS TREATMENTS,2700
27002740,ANTIFUNGAL TREATMENTS,2700
27002750,WART REMOVERS,2700
27002760,FOOT GROOMING & PAIN RELIEF,2700
29002910,SHAMPOO & THERAPEUTIC HAIR & SCALP TREATMENTS,2900
29002920,CONDITIONERS & HAIR TREATMENTS,2900
29002940,STYLING AIDS,2900
29002950,PERMANENTS & CHEMICAL RELAXERS,2900
29002960,HAIR COLOR,2900
29002970,HAIR GROWTH,2900
29002980,CHILDREN'S HAIR CARE,2900
30003020,HOMEOPATHIC KITS & SINGLE REMEDIES,3000
31003110,ACUPRESSURE,3100
31003120,AROMATHERAPY,3100
31003130,MAGNETIC THERAPY,3100
33003310,RAZORS & REFILLS,3300
33003320,"MEN'S SHAVING, HAIR REMOVAL & SKIN CARE",3300
33003340,MEN'S HAIR CARE,3300
33003350,"WOMEN'S SHAVING, HAIR REMOVAL & BLEACHES",3300
35003510,TOOTHPASTE & TREATMENTS,3500
35003520,TOOTHBRUSHES,3500
35003530,DENTURE CARE,3500
35003540,MOUTHWASH,3500
35003550,"INTERDENTAL, FLOSS & GUM CARE",3500
35003570,BREATH REMEDIES,3500
35003580,ORAL REMEDIES,3500
35003590,CHILDREN'S ORAL CARE,3500
37003710,FACIAL & BODY ACNE MEDICATIONS,3700
37003720,MEDICATED & SPECIALTY SOAPS,3700
37003730,FACIAL CLEANSERS,3700
37003740,HAND & BODY CLEANSING,3700
37003750,COSMETIC PUFFS & PADS,3700
37003770,HAND & BODY MOISTURIZERS & TREATMENTS,3700
37003780,BATH PRODUCTS,3700
37003790,FACIAL MOISTURIZERS & TREATMENTS,3700
38003810,SMOKING DETERRENTS,3800
39003910,SUN TANNING,3900
39003920,SUN PROTECTION,3900
39003930,AFTER SUN & SUN ACCESSORIES,3900
39003940,SUNLESS TANNING,3900
40004010,TRIAL/TRAVEL SIZES,4000
40004020,TRAVEL CONTAINERS,4000
40004030,TRAVEL BAGS & ORGANIZERS,4000
41004110,MULTIVITAMINS,4100
41004120,SINGLE ENTITY VITAMINS,4100
41004130,HERBALS & BOTANICALS,4100
41004140,SPECIALTY SUPPLEMENTS,4100
41004150,MINERAL SUPPLEMENTS,4100
41004160,CHILDREN'S VITAMINS/DIETARY SUPPLEMENTS,4100
41004170,MISC VITAMINS,4100
43004310,LIQUIDS,4300
43004320,DRYS,4300
53005310,"CANDY, MINTS & GUM",5300
53005320,BOX CANDY,5300
53005330,SEASONAL CANDY,5300
53005350,DIETETIC CANDY,5300
54005410,ALMAY,5400
54005420,COSMETIC ACCESSORIES & IMPLEMENTS,5400
54005440,COVER GIRL,5400
54005470,MAYBELLINE,5400
54005480,REVLON,5400
54005490,ALL OTHER COSMETIC LINES,5400
55005510,CONSUMER ELECTRONICS,5500
55005550,HOUSEHOLD ELECTRICAL,5500
55005560,BATTERIES,5500
55005590,PHONES & ACCESSORIES,5500
56005610,FROZEN FOOD,5600
56005630,SNACKS & DESSERTS,5600
56005660,PERISHABLE FOOD,5600
56005670,NON-PERISHABLE FOOD,5600
56005680,BEVERAGES,5600
56005690,MISC FOOD & BEVERAGES,5600
57005720,JEWELRY & JEWELRY CLEANERS,5700
57005730,"WATCHES, WATCHBANDS & CLOCKS",5700
57005760,OTHER GIFTS & NOVELTIES,5700
58005810,HALLMARK GREETING CARD LINE,5800
58005820,AMBASSADOR GREETING CARD LINE,5800
58005830,AMERICAN GREETINGS GREETING CARD LINE,5800
58005840,CARLTON GREETING CARD LINE,5800
58005850,ALL OTHER GREETING CARD LINES,5800
58005860,GIBSON GREETING CARD LINE,5800
59005910,"COMBS, BRUSHES, ROLLERS & SCISSORS",5900
59005930,MIRRORS,5900
59005940,HAIR STYLING ACCESSORIES,5900
60006010,"INSECTICIDES, RODENTICIDES & PESTICIDES",6000
60006020,AIR & FABRIC FRESHENERS,6000
60006030,"PLASTIC, FOIL & PAPER PRODUCTS",6000
60006040,HARDWARE,6000
60006050,"SHOE POLISH, SHOE LACES & ACCESSORIES",6000
60006060,CLEANING TOOLS & ACCESSORIES,6000
60006070,CLEANERS & WAXES,6000
60006080,DISH & LAUNDRY,6000
60006090,HOUSEWARES,6000
61006110,"BILLFOLDS, WALLETS & PURSES",6100
62006210,MAGAZINES,6200
62006220,BOOKS,6200
62006230,NEWSPAPERS,6200
63006310,MISC GENERAL MERCHANDISE,6300
63006320,LOTTERY,6300
63006330,POSTAGE & SHIPPING,6300
63006340,MONEY ORDERS & WESTERN UNION,6300
63006350,GIFT CARDS,6300
64006410,DOGS,6400
64006420,CATS,6400
64006450,UNIVERSAL PRODUCTS,6400
65006510,FILM/VIDEO,6500
65006520,PHOTO PROCESSING,6500
65006530,CAMERAS,6500
65006550,PHOTO ACCESSORIES,6500
66006610,INSECT REPELLENTS,6600
66006640,HOLIDAY PROMOTIONS,6600
66006650,SEASONAL PROMOTIONS,6600
66006680,DOLLAR ITEMS,6600
67006710,SEWING NEEDS,6700
67006720,CLOTH DYE,6700
67006730,CRAFTS,6700
68006820,SOCKS,6800
68006830,APPAREL,6800
68006840,MISCELLANEOUS,6800
69006920,FISHING EQUIPMENT,6900
69006950,SPORTING GOODS,6900
69006970,SPORTS & RECREATION APPAREL,6900
70007020,WRITING INSTRUMENTS & RELATED SUPPLIES,7000
70007030,SCHOOL SUPPLIES,7000
70007040,"PAPER, NOTEBOOKS & BINDERS",7000
70007050,OFFICE,7000
70007060,COMPUTER ACCESSORIES,7000
71007110,CIGARETTES,7100
71007120,CIGARS,7100
71007130,TOBACCO,7100
71007140,SMOKING ACCESSORIES,7100
72007220,GAMES & TOYS,7200
72007230,NOVELTIES & GIFT SETS,7200
73007310,FRAGRANCES & GIFT SETS,7300
77007720,PRIVATE LABEL SUNDRIES,7700
78007800,PROFESSIONAL OTCS IN PHARMACY,7800
79007900,STORE SUPPLIES,7900
79007910,STORE SUPPLIES & MISCELLANEOUS EXPENSES,7900
85008510,GASTROINTESTINALS - BRAND,8500
89008970,RI GENERIC RX ITEMS,8900
90009010,BATHROOM SAFETY,9000
90009030,DIAGNOSTIC PRODUCTS,9000
90009050,"PRESSURE RELIEF, POSITIONING & SUPPORT",9000
90009070,RENTALS & LEASES,9000
91009110,MEDICAL NUTRITIONAL & IV THERAPY,9100
91009150,PATIENT ROOM SUPPLIES,9100
91009180,SPECIALIZED ORTHOPEDIC BRACES/SUPPORTS/SPLINTS,9100
91009190,ORTHOPEDIC AIDS,9100
92009210,OSTOMY CARE,9200
92009220,OSTOMY POUCHES,9200
92009230,PATIENT AIDS FOR DAILY LIVING,9200
92009240,MASTECTOMY PRODUCTS,9200
92009250,PHYSICAL & COGNITIVE THERAPY,9200
92009270,RESPIRATORY THERAPY,9200
92009280,ELECTROTHERAPY,9200
93009300,MEDICAL/SURGICAL SUPPLIES,9300
93009310,UROLOGICAL CARE,9300
93009320,CATHETERS,9300
93009330,WALKING AIDS,9300
93009350,WHEELCHAIR ACCESSORIES,9300
93009360,WHEELCHAIRS,9300
93009370,POWER CHAIRS & SCOOTERS,9300
93009380,SPECIALIZED WOUND CARE,9300
93009390,MISC HOME HEALTH CARE,9300
94009410,DISPOSABLE INCONTINENCE,9400
94009420,REUSABLE INCONTINENCE,9400
94009430,INCONTINENCE PERSONAL CARE,9400
95009510,PATIENT CLEANSING & BATHING,9500
95009520,PATIENT SKIN SUPPORT,9500
96009610,HOME DIAGNOSTICS,9600
96009620,PATIENT AIDS FOR DAILY LIVING,9600
Z,*UNDEFINED*,Z